"No.","Leftover Capture Data","Data","Length","Source Port","Destination Port","Time","Source","Destination","Protocol","Info"
"5055","","","94","40085","54321","312.539774","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0xf000 Length:4096"
"5057","","000000000000000000000000000000000000000000000000...","4162","54321","40085","312.539838","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5059","","","94","40085","54321","312.540320","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0xc000 Length:12288"
"5060","","","94","40085","54321","312.540332","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x10000 Length:49152"
"5063","","","94","40085","54321","312.540470","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x1c000 Length:131072"
"5065","","000000000000000000000000000000000000000000000000...","11330","54321","40085","312.540593","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5076","","1df1b5a00000000000000000000000000000000000000000...","12738","54321","40085","312.541585","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5084","","","94","40085","54321","312.541990","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x3c000 Length:131072"
"5100","","000000000000000000000000000000000000000000000000...","12738","54321","40085","312.543528","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5105","","","94","40085","54321","312.544029","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x5c000 Length:131072"
"5121","","000000000000000000000000000000000000000000000000...","12738","54321","40085","312.545707","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5143","","000000000000000000000000000000000000000000000000...","4226","54321","40085","312.548307","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5145","","","94","40085","54321","312.549694","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x7c000 Length:131072"
"5146","","","94","40085","54321","312.549710","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x9c000 Length:131072"
"5168","","000000000000000000000000000000000000000000000000...","12738","54321","40085","312.552059","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5173","","","94","40085","54321","312.552783","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x200000 Length:24576"
"5189","","000000000000000000000000000000000000000000000000...","10210","54321","40085","312.555231","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5193","","000000000000000000000000000000000000000000000000...","11970","54321","40085","312.586986","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5195","","","94","40085","54321","312.609829","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x1400000 Length:4096"
"5197","","cdacf5d10000000000000000000000000000000000000000...","4162","54321","40085","312.609968","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5199","","","94","40085","54321","312.610244","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x1401000 Length:16384"
"5203","","000000000000000000000000000000000000000000000000...","3778","54321","40085","312.610560","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5205","","","94","40085","54321","312.610828","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x1405000 Length:32768"
"5208","","","94","40085","54321","312.611126","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x2404000 Length:4096"
"5212","","000000000000000000000000000000000000000000000000...,8e82dfb00000000000000000000000000000000000000000...","8786","54321","40085","312.611371","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5214","","","94","40085","54321","312.611640","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x2405000 Length:16384"
"5218","","000000000000000000000000000000000000000000000000...","2370","54321","40085","312.611877","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5220","","","94","40085","54321","312.612078","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x2409000 Length:32768"
"5223","","","94","40085","54321","312.612340","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x2411000 Length:65536"
"5228","","000000000000000000000000000000000000000000000000...","15554","54321","40085","312.612781","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5233","","","94","40085","54321","312.613399","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x2421000 Length:131072"
"5237","","000000000000000000000000000000000000000000000000...","15554","54321","40085","312.613657","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5245","","","94","40085","54321","312.614565","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x2400000 Length:4096"
"5255","","00260000001826000000000000549ae9b85300000000d615...","15554","54321","40085","312.615553","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5257","","7b7cdaff0000000000000000000000000000000000000000...","4082","54321","40085","312.615778","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5259","","","94","40085","54321","312.616066","10.240.0.12","10.240.0.3","NBD","Read Request  Offset:0x2401000 Length:12288"
"5261","","000000000000000000000000000000000000000000000000...","12354","54321","40085","312.616132","10.240.0.3","10.240.0.12","NBD","Read Response  Error:0"
"5332","","81acbbe78941f9988941f9988941f9988941f9988941f998...","1474","40085","54321","312.627961","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xc00000 Length:65536"
"5334","","","82","54321","40085","312.628125","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"5403","","fb7c62000000000000000000000000000000000000000000...","1474","40085","54321","312.635354","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0x2418000 Length:65536"
"5404","","","82","54321","40085","312.635399","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"5472","","fb7c62000000000000000000000000000000000000000000...","1046","40085","54321","312.642503","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xf0d8000 Length:65536"
"5474","","","82","54321","40085","312.642592","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"5479","","e5482f770000000000000000000000000000000000000000...","1374","40085","54321","312.643188","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0x10000 Length:4096"
"5480","","","82","54321","40085","312.643225","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"5484","","452907b90000000000000000000000000000000000000000...","1374","40085","54321","342.671966","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0x4000000 Length:4096"
"5486","","","82","54321","40085","342.672175","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"5556","","d1970d588941f9988941f9988941f9988941f9988941f998...","1474","40085","54321","347.618910","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xc10000 Length:65536"
"5559","","","82","54321","40085","347.619110","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"5627","","2a1f3b260000000000000000000000000000000000000000...","1474","40085","54321","347.626295","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0x2428000 Length:65536"
"5629","","","82","54321","40085","347.626397","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"5698","","2a1f3b260000000000000000000000000000000000000000...","1046","40085","54321","347.633460","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xf0e8000 Length:65536"
"5700","","","82","54321","40085","347.633554","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"5705","","3ad03f240000000000000000000000000000000000000000...","1374","40085","54321","347.634230","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0x10000 Length:4096"
"5706","","","82","54321","40085","347.634272","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"5710","","9ab117ea0000000000000000000000000000000000000000...","1374","40085","54321","377.664010","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0x4000000 Length:4096"
"5712","","","82","54321","40085","377.664792","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"5783","","785e8c577d6c53d715bf7612e604c3739bf0b16e746febb2...","1474","40085","54321","437.701136","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xc00000 Length:65536"
"5786","","","82","54321","40085","437.701264","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"5924","","1f8b08005ce21f570003b49b7b7054559ec76f5e10029af0...","1474","40085","54321","437.715689","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xc20000 Length:131072"
"5929","","","82","54321","40085","437.716161","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"6065","","4fcfd0e37cca514dd8f13a290f68e8f0608a813f6032fd60...","1474","40085","54321","437.730314","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xc40000 Length:131072"
"6067","","","82","54321","40085","437.730479","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"6205","","9d52c41f734dec9c13104d183ce7e04d3c73c76f32c07396...","1474","40085","54321","437.744993","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xc60000 Length:131072"
"6212","","","82","54321","40085","437.745739","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"6346","","4080a8804102845d39828244653568d4accb0a3dbdbfaaba...","1474","40085","54321","437.759707","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xc80000 Length:131072"
"6351","","","82","54321","40085","437.760045","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"6487","","053abddb368c87e0cd358d7d6eefc42aa8bb82bcc01d513a...","1474","40085","54321","437.774326","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xca0000 Length:131072"
"6488","","","82","54321","40085","437.774482","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"6627","","0e1f46eb71649436fc7c580f77d6776e698369414a16d82c...","1474","40085","54321","437.788960","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xcc0000 Length:131072"
"6634","","","82","54321","40085","437.789690","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"6767","","fa84f02c2dfec2bbe891c36e8cbf805946b76a13953bc93c...","1474","40085","54321","437.803587","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xce0000 Length:131072"
"6770","","","82","54321","40085","437.803852","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"6907","","0b5cd35a72fb950d9ed1ad6cf04c4e70e36be965d3f90de9...","1474","40085","54321","437.818192","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xd00000 Length:131072"
"6910","","","82","54321","40085","437.818577","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"7044","","fb32e17b04f2cff82cfbde2100a38b3a02c1d958b39435ea...","1474","40085","54321","437.832816","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xd20000 Length:131072"
"7050","","","82","54321","40085","437.833349","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"7184","","efe396631d0995b57b589459cfb056d45fede52e39c58328...","1474","40085","54321","437.847446","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xd40000 Length:131072"
"7189","","","82","54321","40085","437.847834","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"7325","","a065cf7acfdf0d7b77f9f3a05f20952a6f4d1d53565a283a...","1474","40085","54321","437.862059","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xd60000 Length:131072"
"7331","","","82","54321","40085","437.862572","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"7465","","30f91990d2547b417c261d1e8991cbb7c65cc6b13fd30c9c...","1474","40085","54321","437.876682","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xd80000 Length:131072"
"7468","","","82","54321","40085","437.876962","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"7607","","8062d444daaea90eb8f7eccb22f21276e487f8e957d52261...","1474","40085","54321","437.891511","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xda0000 Length:131072"
"7611","","","82","54321","40085","437.891804","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"7747","","1cc2d84eaaa6d90d68428c22147918518ef0512f45f19a6c...","1474","40085","54321","437.906076","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xdc0000 Length:131072"
"7752","","","82","54321","40085","437.906429","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"7888","","a54d20df862212f51448d5fa3f0984f4184c273fc60e3df0...","1474","40085","54321","437.921017","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xde0000 Length:131072"
"7897","","","82","54321","40085","437.921641","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"8028","","2ae0db3572b450d3ce7f34fc70b986affa68e4ee454dbf0f...","1474","40085","54321","437.935316","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xe00000 Length:131072"
"8033","","","82","54321","40085","437.935747","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"8167","","289c4edcf5c64b94dd9def274df28ed65f4e63ff156c7cca...","1474","40085","54321","437.949984","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xe20000 Length:131072"
"8170","","","82","54321","40085","437.950152","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"8307","","377d82a09eb7011986de257e8d5310e27b2528e8f127dfc9...","1474","40085","54321","437.964600","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xe40000 Length:131072"
"8310","","","82","54321","40085","437.964777","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"8447","","6217ef27007458a8423f327960902fe83395e3a9ac5da80b...","1474","40085","54321","437.979191","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xe60000 Length:131072"
"8450","","","82","54321","40085","437.979473","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"8587","","55b2e83e1d03b3b9c7a722d17d5d328df5d3404724b64ae2...","1474","40085","54321","437.994057","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xe80000 Length:131072"
"8596","","","82","54321","40085","437.994705","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"8727","","18f9d354872f55d00d1c17be1baa6bc0f23e2c571d9254fe...","1474","40085","54321","438.008435","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xea0000 Length:131072"
"8732","","","82","54321","40085","438.008800","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"8869","","6512ffc66a929b670b34c18aebff871bb1b6e4ded17f8f1b...","1474","40085","54321","438.023223","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xec0000 Length:131072"
"8872","","","82","54321","40085","438.023493","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"9009","","f73bf65be4bf93a4dcbfb33eb29e59b3572b053b552e4e28...","1474","40085","54321","438.037850","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xee0000 Length:131072"
"9012","","","82","54321","40085","438.038147","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"9149","","c1bf272cb3eab2f787aaf967d1d68e6453e9a9272079defb...","1474","40085","54321","438.052470","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xf00000 Length:131072"
"9154","","","82","54321","40085","438.052930","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"9290","","fa97068abd31acc5ad22b86687b5e0470c0c3cc59935230b...","1474","40085","54321","438.067210","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xf20000 Length:131072"
"9297","","","82","54321","40085","438.067753","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"9430","","e43c82636a7cfe3636c8e844abbd5cc7281e971cfd44d020...","1474","40085","54321","438.081741","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xf40000 Length:131072"
"9433","","","82","54321","40085","438.081937","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"9570","","4483368252b72fdb511a3aea60eda5af09d5c1d9dab020de...","1474","40085","54321","438.096630","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xf60000 Length:131072"
"9575","","","82","54321","40085","438.096805","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"9711","","e139aebbc18bff79fbecd0f7603e0ee887bf037ecad0ffc6...","1474","40085","54321","438.110986","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xf80000 Length:131072"
"9715","","","82","54321","40085","438.111371","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"9851","","d9e55343b0ec1d9c3e68309692317488eff158ffb7c306f9...","1474","40085","54321","438.125589","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xfa0000 Length:131072"
"9853","","","82","54321","40085","438.125743","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"9991","","18bfea38599e0fc87a971f7a9092dfdb7965abd954797be0...","1474","40085","54321","438.140308","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xfc0000 Length:131072"
"9995","","","82","54321","40085","438.140626","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"10131","","df24e0aa0847ea790bf04e709c26f000f0b5e09f23c4cffb...","1474","40085","54321","438.154951","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0xfe0000 Length:131072"
"10134","","","82","54321","40085","438.155095","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"10272","","f82ba0b7fff9b8bc5b5ce63f5fc6ed7351fe8cdbfb53018c...","1474","40085","54321","438.169595","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0x1000000 Length:131072"
"10273","","","82","54321","40085","438.169730","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"10412","","26bf597f24b9768fd3bd629b1827c4cb4ac883491a024fb9...","1474","40085","54321","438.184238","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0x1020000 Length:131072"
"10415","","","82","54321","40085","438.184482","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"10551","","dda86f103a8ceb345d8ab0178169f4a2834aeab7c41fecd1...","1474","40085","54321","438.198866","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0x1040000 Length:131072"
"10553","","","82","54321","40085","438.198988","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"10692","","9334c130acdc106c98e5e84f3437c53c9ad59ea348b6c4ac...","1474","40085","54321","438.213472","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0x1060000 Length:131072"
"10693","","","82","54321","40085","438.213585","10.240.0.3","10.240.0.12","NBD","Write Response  Error:0"
"10830","","9f0d56eca0bffeca9ba05703224f3dfd8b80887bc21df1da...","1474","40085","54321","438.228096","10.240.0.12","10.240.0.3","NBD","Write Request  Offset:0x1080000 Length:131072"
