"No.","Leftover Capture Data","Length","Source Port","Destination Port","Time","Source","Destination","Protocol","Info"
"34","","36","0xffffffff","0x00000000","4.867208","host","1.2.0","USBHUB","GET_STATUS Request     [Port 7]"
"35","02","28","0x00000001","0xffffffff","5.038809","1.2.1","host","USB","URB_INTERRUPT in"
"36","","32","0x00000000","0xffffffff","5.038809","1.2.0","host","USBHUB","GET_STATUS Response    [Port 1]"
"37","","28","0x00000000","0xffffffff","5.038809","1.2.0","host","USB","GET STATUS Status"
"38","","32","0x00000000","0xffffffff","5.070009","1.2.0","host","USBHUB","GET_STATUS Response    [Port 2]"
"39","","28","0x00000000","0xffffffff","5.070009","1.2.0","host","USB","GET STATUS Status"
"40","","32","0x00000000","0xffffffff","5.070009","1.2.0","host","USBHUB","GET_STATUS Response    [Port 4]"
"41","","28","0x00000000","0xffffffff","5.070009","1.2.0","host","USB","GET STATUS Status"
"42","","36","0xffffffff","0x00000000","5.085609","host","1.2.0","USBHUB","GET_STATUS Request     [Port 1]"
"43","","32","0x00000000","0xffffffff","5.085609","1.2.0","host","USBHUB","GET_STATUS Response    [Port 3]"
"44","","28","0x00000000","0xffffffff","5.085609","1.2.0","host","USB","GET STATUS Status"
"45","","32","0x00000000","0xffffffff","5.085609","1.2.0","host","USBHUB","GET_STATUS Response    [Port 5]"
"46","","28","0x00000000","0xffffffff","5.085609","1.2.0","host","USB","GET STATUS Status"
"47","","32","0x00000000","0xffffffff","5.085609","1.2.0","host","USBHUB","GET_STATUS Response    [Port 6]"
"48","","28","0x00000000","0xffffffff","5.085609","1.2.0","host","USB","GET STATUS Status"
"49","","32","0x00000000","0xffffffff","5.085609","1.2.0","host","USBHUB","GET_STATUS Response    [Port 7]"
"50","","28","0x00000000","0xffffffff","5.085609","1.2.0","host","USB","GET STATUS Status"
"51","","32","0x00000000","0xffffffff","5.085609","1.2.0","host","USBHUB","GET_STATUS Response    [Port 1]"
"52","","28","0x00000000","0xffffffff","5.085609","1.2.0","host","USB","GET STATUS Status"
"53","","36","0xffffffff","0x00000000","5.085609","host","1.2.0","USBHUB","CLEAR_FEATURE Request  [Port 1: C_PORT_CONNECTION]"
"54","","28","0x00000000","0xffffffff","5.101209","1.2.0","host","USB","CLEAR FEATURE Status"
"55","","36","0xffffffff","0x00000000","5.101209","host","1.2.0","USBHUB","GET_STATUS Request     [Port 1]"
"56","","32","0x00000000","0xffffffff","5.101209","1.2.0","host","USBHUB","GET_STATUS Response    [Port 1]"
"57","","28","0x00000000","0xffffffff","5.101209","1.2.0","host","USB","GET STATUS Status"
"58","","36","0xffffffff","0x00000000","5.241609","host","1.2.0","USBHUB","SET_FEATURE Request    [Port 1: PORT_RESET]"
"59","","28","0x00000000","0xffffffff","5.272809","1.2.0","host","USB","SET FEATURE Status"
"60","02","28","0x00000001","0xffffffff","5.460009","1.2.1","host","USB","URB_INTERRUPT in"
"61","","36","0xffffffff","0x00000000","5.475609","host","1.2.0","USBHUB","GET_STATUS Request     [Port 1]"
"62","","32","0x00000000","0xffffffff","5.662810","1.2.0","host","USBHUB","GET_STATUS Response    [Port 1]"
"63","","28","0x00000000","0xffffffff","5.662810","1.2.0","host","USB","GET STATUS Status"
"64","","36","0xffffffff","0x00000000","5.678410","host","1.2.0","USBHUB","CLEAR_FEATURE Request  [Port 1: C_PORT_RESET]"
"65","","28","0x00000000","0xffffffff","5.787610","1.2.0","host","USB","CLEAR FEATURE Status"
"66","","36","0xffffffff","0x00000000","5.787610","host","1.2.0","USBHUB","GET_STATUS Request     [Port 1]"
"67","","32","0x00000000","0xffffffff","5.787610","1.2.0","host","USBHUB","GET_STATUS Response    [Port 1]"
"68","","28","0x00000000","0xffffffff","5.787610","1.2.0","host","USB","GET STATUS Status"
"69","","36","0xffffffff","0x00000000","5.818810","host","1.2.0","USBHUB","SET_FEATURE Request    [Port 1: PORT_RESET]"
"70","","28","0x00000000","0xffffffff","5.881210","1.2.0","host","USB","SET FEATURE Status"
"71","02","28","0x00000001","0xffffffff","6.411611","1.2.1","host","USB","URB_INTERRUPT in"
"72","","36","0xffffffff","0x00000000","6.411611","host","1.2.0","USBHUB","GET_STATUS Request     [Port 1]"
"73","","32","0x00000000","0xffffffff","6.411611","1.2.0","host","USBHUB","GET_STATUS Response    [Port 1]"
"74","","28","0x00000000","0xffffffff","6.411611","1.2.0","host","USB","GET STATUS Status"
"75","","36","0xffffffff","0x00000000","6.411611","host","1.2.0","USBHUB","CLEAR_FEATURE Request  [Port 1: C_PORT_RESET]"
"76","","28","0x00000000","0xffffffff","6.411611","1.2.0","host","USB","CLEAR FEATURE Status"
"77","","36","0xffffffff","0x00000000","6.411611","host","1.2.0","USBHUB","GET_STATUS Request     [Port 1]"
"78","","32","0x00000000","0xffffffff","6.411611","1.2.0","host","USBHUB","GET_STATUS Response    [Port 1]"
"79","","28","0x00000000","0xffffffff","6.411611","1.2.0","host","USB","GET STATUS Status"
"80","","36","0xffffffff","0x00000000","6.474011","host","1.2.0","USBHUB","GET_STATUS Request     [Port 1]"
"81","","32","0x00000000","0xffffffff","6.474011","1.2.0","host","USBHUB","GET_STATUS Response    [Port 1]"
"82","","28","0x00000000","0xffffffff","6.474011","1.2.0","host","USB","GET STATUS Status"
"83","","36","0xffffffff","0x00000000","6.505211","host","1.3.0","USB","GET DESCRIPTOR Request DEVICE"
"84","","46","0x00000000","0xffffffff","6.505211","1.3.0","host","USB","GET DESCRIPTOR Response DEVICE"
"85","","28","0x00000000","0xffffffff","6.505211","1.3.0","host","USB","GET DESCRIPTOR Status"
"86","","36","0xffffffff","0x00000000","6.505211","host","1.3.0","USB","GET DESCRIPTOR Request CONFIGURATION"
"87","","37","0x00000000","0xffffffff","6.520811","1.3.0","host","USB","GET DESCRIPTOR Response CONFIGURATION"
"88","","28","0x00000000","0xffffffff","6.520811","1.3.0","host","USB","GET DESCRIPTOR Status"
"89","","36","0xffffffff","0x00000000","6.520811","host","1.3.0","USB","GET DESCRIPTOR Request CONFIGURATION"
"90","","62","0x00000000","0xffffffff","6.520811","1.3.0","host","USB","GET DESCRIPTOR Response CONFIGURATION"
"91","","28","0x00000000","0xffffffff","6.520811","1.3.0","host","USB","GET DESCRIPTOR Status"
"92","","36","0xffffffff","0x00000000","6.520811","host","1.3.0","USB","SET CONFIGURATION Request"
"93","","28","0x00000000","0xffffffff","6.520811","1.3.0","host","USB","SET CONFIGURATION Status"
"94","","36","0xffffffff","0x00000000","6.520811","host","1.3.0","USBHID","SET_IDLE Request"
"95","","36","0xffffffff","0x00000000","6.536411","host","1.3.0","USBHID","GET DESCRIPTOR Request HID Report"
"96","","80","0x00000000","0xffffffff","6.536411","1.3.0","host","USBHID","GET DESCRIPTOR Response HID Report"
"97","","28","0x00000000","0xffffffff","6.536411","1.3.0","host","USB","GET DESCRIPTOR Status"
"98","0001fe00","31","0x00000001","0xffffffff","6.552011","1.3.1","host","USB","URB_INTERRUPT in"
"99","0001ff00","31","0x00000001","0xffffffff","7.815614","1.3.1","host","USB","URB_INTERRUPT in"
"100","00020000","31","0x00000001","0xffffffff","7.831214","1.3.1","host","USB","URB_INTERRUPT in"
"101","00030000","31","0x00000001","0xffffffff","7.862414","1.3.1","host","USB","URB_INTERRUPT in"
"102","00010000","31","0x00000001","0xffffffff","7.878014","1.3.1","host","USB","URB_INTERRUPT in"
"103","00020000","31","0x00000001","0xffffffff","7.893614","1.3.1","host","USB","URB_INTERRUPT in"
"104","0004ff00","31","0x00000001","0xffffffff","7.924814","1.3.1","host","USB","URB_INTERRUPT in"
"105","0001ff00","31","0x00000001","0xffffffff","7.940414","1.3.1","host","USB","URB_INTERRUPT in"
"106","0003ff00","31","0x00000001","0xffffffff","7.971614","1.3.1","host","USB","URB_INTERRUPT in"
"107","0003fd00","31","0x00000001","0xffffffff","7.987214","1.3.1","host","USB","URB_INTERRUPT in"
"108","0002ff00","31","0x00000001","0xffffffff","8.018414","1.3.1","host","USB","URB_INTERRUPT in"
"109","0001ff00","31","0x00000001","0xffffffff","8.034014","1.3.1","host","USB","URB_INTERRUPT in"
"110","0004fd00","31","0x00000001","0xffffffff","8.065214","1.3.1","host","USB","URB_INTERRUPT in"
"111","0001fd00","31","0x00000001","0xffffffff","9.016816","1.3.1","host","USB","URB_INTERRUPT in"
"112","0000fd00","31","0x00000001","0xffffffff","9.048016","1.3.1","host","USB","URB_INTERRUPT in"
"113","00fffc00","31","0x00000001","0xffffffff","9.063616","1.3.1","host","USB","URB_INTERRUPT in"
"114","00fefd00","31","0x00000001","0xffffffff","9.094816","1.3.1","host","USB","URB_INTERRUPT in"
"115","00fefc00","31","0x00000001","0xffffffff","9.110416","1.3.1","host","USB","URB_INTERRUPT in"
"116","00fefd00","31","0x00000001","0xffffffff","9.141616","1.3.1","host","USB","URB_INTERRUPT in"
"117","00fffc00","31","0x00000001","0xffffffff","9.157216","1.3.1","host","USB","URB_INTERRUPT in"
"118","00ffff00","31","0x00000001","0xffffffff","9.188416","1.3.1","host","USB","URB_INTERRUPT in"
"119","0000ff00","31","0x00000001","0xffffffff","9.204016","1.3.1","host","USB","URB_INTERRUPT in"
"120","00fefc00","31","0x00000001","0xffffffff","9.235216","1.3.1","host","USB","URB_INTERRUPT in"
"121","00fffb00","31","0x00000001","0xffffffff","9.250816","1.3.1","host","USB","URB_INTERRUPT in"
"122","00fffb00","31","0x00000001","0xffffffff","9.282016","1.3.1","host","USB","URB_INTERRUPT in"
"123","00fcfa00","31","0x00000001","0xffffffff","9.297616","1.3.1","host","USB","URB_INTERRUPT in"
"124","00fefa00","31","0x00000001","0xffffffff","9.328816","1.3.1","host","USB","URB_INTERRUPT in"
"125","00fdf900","31","0x00000001","0xffffffff","9.344416","1.3.1","host","USB","URB_INTERRUPT in"
"126","00fffc00","31","0x00000001","0xffffffff","9.360016","1.3.1","host","USB","URB_INTERRUPT in"
"127","00fffd00","31","0x00000001","0xffffffff","9.391216","1.3.1","host","USB","URB_INTERRUPT in"
"128","00fdfb00","31","0x00000001","0xffffffff","9.406816","1.3.1","host","USB","URB_INTERRUPT in"
"129","00fffc00","31","0x00000001","0xffffffff","9.438016","1.3.1","host","USB","URB_INTERRUPT in"
"130","00fffd00","31","0x00000001","0xffffffff","9.453616","1.3.1","host","USB","URB_INTERRUPT in"
"131","0000fd00","31","0x00000001","0xffffffff","9.484816","1.3.1","host","USB","URB_INTERRUPT in"
"132","00fefc00","31","0x00000001","0xffffffff","9.500417","1.3.1","host","USB","URB_INTERRUPT in"
"133","00fffd00","31","0x00000001","0xffffffff","9.547217","1.3.1","host","USB","URB_INTERRUPT in"
"134","00fffd00","31","0x00000001","0xffffffff","9.578417","1.3.1","host","USB","URB_INTERRUPT in"
"135","0000fd00","31","0x00000001","0xffffffff","9.594017","1.3.1","host","USB","URB_INTERRUPT in"
"136","00fffe00","31","0x00000001","0xffffffff","9.625217","1.3.1","host","USB","URB_INTERRUPT in"
"137","0000fd00","31","0x00000001","0xffffffff","9.640817","1.3.1","host","USB","URB_INTERRUPT in"
"138","00fefc00","31","0x00000001","0xffffffff","9.656417","1.3.1","host","USB","URB_INTERRUPT in"
"139","00fffd00","31","0x00000001","0xffffffff","9.687617","1.3.1","host","USB","URB_INTERRUPT in"
"140","0000fc00","31","0x00000001","0xffffffff","9.703217","1.3.1","host","USB","URB_INTERRUPT in"
"141","0000fd00","31","0x00000001","0xffffffff","9.734417","1.3.1","host","USB","URB_INTERRUPT in"
"142","0000fd00","31","0x00000001","0xffffffff","9.750017","1.3.1","host","USB","URB_INTERRUPT in"
"143","0000fe00","31","0x00000001","0xffffffff","9.781217","1.3.1","host","USB","URB_INTERRUPT in"
"144","0000fd00","31","0x00000001","0xffffffff","9.796817","1.3.1","host","USB","URB_INTERRUPT in"
"145","0000fd00","31","0x00000001","0xffffffff","9.828017","1.3.1","host","USB","URB_INTERRUPT in"
"146","0000fe00","31","0x00000001","0xffffffff","9.843617","1.3.1","host","USB","URB_INTERRUPT in"
"147","0000fe00","31","0x00000001","0xffffffff","9.874817","1.3.1","host","USB","URB_INTERRUPT in"
"148","0000ff00","31","0x00000001","0xffffffff","9.890417","1.3.1","host","USB","URB_INTERRUPT in"
"149","0000ff00","31","0x00000001","0xffffffff","9.921617","1.3.1","host","USB","URB_INTERRUPT in"
"150","0000fd00","31","0x00000001","0xffffffff","9.937217","1.3.1","host","USB","URB_INTERRUPT in"
"151","0000fe00","31","0x00000001","0xffffffff","9.968417","1.3.1","host","USB","URB_INTERRUPT in"
"152","0000fc00","31","0x00000001","0xffffffff","9.984017","1.3.1","host","USB","URB_INTERRUPT in"
"153","0000fe00","31","0x00000001","0xffffffff","10.015217","1.3.1","host","USB","URB_INTERRUPT in"
"154","0000fe00","31","0x00000001","0xffffffff","10.030817","1.3.1","host","USB","URB_INTERRUPT in"
"155","0001ff00","31","0x00000001","0xffffffff","10.046417","1.3.1","host","USB","URB_INTERRUPT in"
"156","0001ff00","31","0x00000001","0xffffffff","10.077618","1.3.1","host","USB","URB_INTERRUPT in"
"157","0001ff00","31","0x00000001","0xffffffff","10.124418","1.3.1","host","USB","URB_INTERRUPT in"
"158","0001ff00","31","0x00000001","0xffffffff","10.171218","1.3.1","host","USB","URB_INTERRUPT in"
"159","00010000","31","0x00000001","0xffffffff","10.218018","1.3.1","host","USB","URB_INTERRUPT in"
"160","0001ff00","31","0x00000001","0xffffffff","10.264818","1.3.1","host","USB","URB_INTERRUPT in"
"161","0000fd00","31","0x00000001","0xffffffff","10.420818","1.3.1","host","USB","URB_INTERRUPT in"
"162","0000fc00","31","0x00000001","0xffffffff","10.436418","1.3.1","host","USB","URB_INTERRUPT in"
"163","0000fc00","31","0x00000001","0xffffffff","10.467618","1.3.1","host","USB","URB_INTERRUPT in"
"164","0000fc00","31","0x00000001","0xffffffff","10.483218","1.3.1","host","USB","URB_INTERRUPT in"
"165","0000fd00","31","0x00000001","0xffffffff","10.514418","1.3.1","host","USB","URB_INTERRUPT in"
"166","0000fd00","31","0x00000001","0xffffffff","10.530018","1.3.1","host","USB","URB_INTERRUPT in"
"167","0000ff00","31","0x00000001","0xffffffff","10.561218","1.3.1","host","USB","URB_INTERRUPT in"
"168","0000ff00","31","0x00000001","0xffffffff","10.576818","1.3.1","host","USB","URB_INTERRUPT in"
"169","0000fd00","31","0x00000001","0xffffffff","10.608018","1.3.1","host","USB","URB_INTERRUPT in"
"170","0000ff00","31","0x00000001","0xffffffff","10.623618","1.3.1","host","USB","URB_INTERRUPT in"
"171","0000fc00","31","0x00000001","0xffffffff","10.654819","1.3.1","host","USB","URB_INTERRUPT in"
"172","00fefb00","31","0x00000001","0xffffffff","10.670419","1.3.1","host","USB","URB_INTERRUPT in"
"173","00fafa00","31","0x00000001","0xffffffff","10.686019","1.3.1","host","USB","URB_INTERRUPT in"
"174","00f7fb00","31","0x00000001","0xffffffff","10.717219","1.3.1","host","USB","URB_INTERRUPT in"
"175","00f6fa00","31","0x00000001","0xffffffff","10.732819","1.3.1","host","USB","URB_INTERRUPT in"
"176","00f4fa00","31","0x00000001","0xffffffff","10.764019","1.3.1","host","USB","URB_INTERRUPT in"
"177","00f6fb00","31","0x00000001","0xffffffff","10.779619","1.3.1","host","USB","URB_INTERRUPT in"
"178","00f6fc00","31","0x00000001","0xffffffff","10.810819","1.3.1","host","USB","URB_INTERRUPT in"
"179","00f8fa00","31","0x00000001","0xffffffff","10.826419","1.3.1","host","USB","URB_INTERRUPT in"
"180","00fbfb00","31","0x00000001","0xffffffff","10.857619","1.3.1","host","USB","URB_INTERRUPT in"
"181","00f9f900","31","0x00000001","0xffffffff","10.873219","1.3.1","host","USB","URB_INTERRUPT in"
"182","00f9fb00","31","0x00000001","0xffffffff","10.904419","1.3.1","host","USB","URB_INTERRUPT in"
"183","00fcfc00","31","0x00000001","0xffffffff","10.920019","1.3.1","host","USB","URB_INTERRUPT in"
"184","00fdfd00","31","0x00000001","0xffffffff","10.951219","1.3.1","host","USB","URB_INTERRUPT in"
"185","00fcfc00","31","0x00000001","0xffffffff","10.966819","1.3.1","host","USB","URB_INTERRUPT in"
"186","00fdfe00","31","0x00000001","0xffffffff","10.998019","1.3.1","host","USB","URB_INTERRUPT in"
"187","00ff0000","31","0x00000001","0xffffffff","11.013619","1.3.1","host","USB","URB_INTERRUPT in"
"188","00fdfe00","31","0x00000001","0xffffffff","11.044819","1.3.1","host","USB","URB_INTERRUPT in"
"189","00ff0000","31","0x00000001","0xffffffff","11.076019","1.3.1","host","USB","URB_INTERRUPT in"
"190","00ff0100","31","0x00000001","0xffffffff","11.122819","1.3.1","host","USB","URB_INTERRUPT in"
"191","00000100","31","0x00000001","0xffffffff","11.154019","1.3.1","host","USB","URB_INTERRUPT in"
"192","00000100","31","0x00000001","0xffffffff","11.169619","1.3.1","host","USB","URB_INTERRUPT in"
"193","00030400","31","0x00000001","0xffffffff","11.200820","1.3.1","host","USB","URB_INTERRUPT in"
"194","00040300","31","0x00000001","0xffffffff","11.216420","1.3.1","host","USB","URB_INTERRUPT in"
"195","00020100","31","0x00000001","0xffffffff","11.247620","1.3.1","host","USB","URB_INTERRUPT in"
"196","00030100","31","0x00000001","0xffffffff","11.310020","1.3.1","host","USB","URB_INTERRUPT in"
"197","00030800","31","0x00000001","0xffffffff","11.341220","1.3.1","host","USB","URB_INTERRUPT in"
"198","00060100","31","0x00000001","0xffffffff","11.356820","1.3.1","host","USB","URB_INTERRUPT in"
"199","00ff0500","31","0x00000001","0xffffffff","11.388020","1.3.1","host","USB","URB_INTERRUPT in"
"200","00010000","31","0x00000001","0xffffffff","11.434820","1.3.1","host","USB","URB_INTERRUPT in"
"201","00070500","31","0x00000001","0xffffffff","11.450420","1.3.1","host","USB","URB_INTERRUPT in"
"202","00030400","31","0x00000001","0xffffffff","11.481620","1.3.1","host","USB","URB_INTERRUPT in"
"203","00010500","31","0x00000001","0xffffffff","11.606420","1.3.1","host","USB","URB_INTERRUPT in"
"204","00020200","31","0x00000001","0xffffffff","11.637620","1.3.1","host","USB","URB_INTERRUPT in"
"205","00000200","31","0x00000001","0xffffffff","11.700020","1.3.1","host","USB","URB_INTERRUPT in"
"206","00010100","31","0x00000001","0xffffffff","11.840421","1.3.1","host","USB","URB_INTERRUPT in"
"207","0001ff00","31","0x00000001","0xffffffff","11.856021","1.3.1","host","USB","URB_INTERRUPT in"
"208","0000ff00","31","0x00000001","0xffffffff","11.887221","1.3.1","host","USB","URB_INTERRUPT in"
"209","0000fe00","31","0x00000001","0xffffffff","11.902821","1.3.1","host","USB","URB_INTERRUPT in"
"210","0000ff00","31","0x00000001","0xffffffff","11.934021","1.3.1","host","USB","URB_INTERRUPT in"
"211","0000ff00","31","0x00000001","0xffffffff","11.949621","1.3.1","host","USB","URB_INTERRUPT in"
"212","0000fd00","31","0x00000001","0xffffffff","11.980821","1.3.1","host","USB","URB_INTERRUPT in"
"213","0000fe00","31","0x00000001","0xffffffff","11.996421","1.3.1","host","USB","URB_INTERRUPT in"
"214","0000ff00","31","0x00000001","0xffffffff","12.027621","1.3.1","host","USB","URB_INTERRUPT in"
"215","00fefc00","31","0x00000001","0xffffffff","12.043221","1.3.1","host","USB","URB_INTERRUPT in"
"216","00fefe00","31","0x00000001","0xffffffff","12.074421","1.3.1","host","USB","URB_INTERRUPT in"
"217","00fdfd00","31","0x00000001","0xffffffff","12.090021","1.3.1","host","USB","URB_INTERRUPT in"
"218","00fdfd00","31","0x00000001","0xffffffff","12.121221","1.3.1","host","USB","URB_INTERRUPT in"
"219","00fefe00","31","0x00000001","0xffffffff","12.136821","1.3.1","host","USB","URB_INTERRUPT in"
"220","00ffff00","31","0x00000001","0xffffffff","12.152421","1.3.1","host","USB","URB_INTERRUPT in"
"221","00fdfd00","31","0x00000001","0xffffffff","12.183621","1.3.1","host","USB","URB_INTERRUPT in"
"222","00ffff00","31","0x00000001","0xffffffff","12.199221","1.3.1","host","USB","URB_INTERRUPT in"
"223","00ffff00","31","0x00000001","0xffffffff","12.230421","1.3.1","host","USB","URB_INTERRUPT in"
"224","00feff00","31","0x00000001","0xffffffff","12.246021","1.3.1","host","USB","URB_INTERRUPT in"
"225","00fefe00","31","0x00000001","0xffffffff","12.277221","1.3.1","host","USB","URB_INTERRUPT in"
"226","00ffff00","31","0x00000001","0xffffffff","12.292821","1.3.1","host","USB","URB_INTERRUPT in"
"227","00feff00","31","0x00000001","0xffffffff","12.324021","1.3.1","host","USB","URB_INTERRUPT in"
"228","00fefe00","31","0x00000001","0xffffffff","12.339622","1.3.1","host","USB","URB_INTERRUPT in"
"229","00fdfd00","31","0x00000001","0xffffffff","12.370822","1.3.1","host","USB","URB_INTERRUPT in"
"230","00fffe00","31","0x00000001","0xffffffff","12.386422","1.3.1","host","USB","URB_INTERRUPT in"
"231","00fefd00","31","0x00000001","0xffffffff","12.417622","1.3.1","host","USB","URB_INTERRUPT in"
"232","00fefe00","31","0x00000001","0xffffffff","12.433222","1.3.1","host","USB","URB_INTERRUPT in"
"233","00fefd00","31","0x00000001","0xffffffff","12.464422","1.3.1","host","USB","URB_INTERRUPT in"
"234","00fefd00","31","0x00000001","0xffffffff","12.480022","1.3.1","host","USB","URB_INTERRUPT in"
"235","00fefe00","31","0x00000001","0xffffffff","12.511222","1.3.1","host","USB","URB_INTERRUPT in"
"236","00fcfd00","31","0x00000001","0xffffffff","12.526822","1.3.1","host","USB","URB_INTERRUPT in"
"237","00fefd00","31","0x00000001","0xffffffff","12.542422","1.3.1","host","USB","URB_INTERRUPT in"
"238","00fefe00","31","0x00000001","0xffffffff","12.573622","1.3.1","host","USB","URB_INTERRUPT in"
"239","00fefe00","31","0x00000001","0xffffffff","12.604822","1.3.1","host","USB","URB_INTERRUPT in"
"240","00fdfd00","31","0x00000001","0xffffffff","12.620422","1.3.1","host","USB","URB_INTERRUPT in"
"241","00fefe00","31","0x00000001","0xffffffff","12.636022","1.3.1","host","USB","URB_INTERRUPT in"
"242","00fdff00","31","0x00000001","0xffffffff","12.667222","1.3.1","host","USB","URB_INTERRUPT in"
"243","00fefe00","31","0x00000001","0xffffffff","12.682822","1.3.1","host","USB","URB_INTERRUPT in"
"244","00fefe00","31","0x00000001","0xffffffff","12.714022","1.3.1","host","USB","URB_INTERRUPT in"
"245","00fdfe00","31","0x00000001","0xffffffff","12.729622","1.3.1","host","USB","URB_INTERRUPT in"
"246","00ffff00","31","0x00000001","0xffffffff","12.760822","1.3.1","host","USB","URB_INTERRUPT in"
"247","00fcfe00","31","0x00000001","0xffffffff","12.776422","1.3.1","host","USB","URB_INTERRUPT in"
"248","00fdfd00","31","0x00000001","0xffffffff","12.807622","1.3.1","host","USB","URB_INTERRUPT in"
"249","00fdfe00","31","0x00000001","0xffffffff","12.823222","1.3.1","host","USB","URB_INTERRUPT in"
"250","00fcff00","31","0x00000001","0xffffffff","12.854422","1.3.1","host","USB","URB_INTERRUPT in"
"251","00fdfe00","31","0x00000001","0xffffffff","12.870022","1.3.1","host","USB","URB_INTERRUPT in"
"252","00fefe00","31","0x00000001","0xffffffff","12.901222","1.3.1","host","USB","URB_INTERRUPT in"
"253","00fdfd00","31","0x00000001","0xffffffff","12.916823","1.3.1","host","USB","URB_INTERRUPT in"
"254","00feff00","31","0x00000001","0xffffffff","12.932423","1.3.1","host","USB","URB_INTERRUPT in"
"255","00ffff00","31","0x00000001","0xffffffff","12.963623","1.3.1","host","USB","URB_INTERRUPT in"
"256","00fdfe00","31","0x00000001","0xffffffff","12.979223","1.3.1","host","USB","URB_INTERRUPT in"
"257","00fefe00","31","0x00000001","0xffffffff","13.010423","1.3.1","host","USB","URB_INTERRUPT in"
"258","00feff00","31","0x00000001","0xffffffff","13.026023","1.3.1","host","USB","URB_INTERRUPT in"
"259","00ffff00","31","0x00000001","0xffffffff","13.057223","1.3.1","host","USB","URB_INTERRUPT in"
"260","00fdfe00","31","0x00000001","0xffffffff","13.072823","1.3.1","host","USB","URB_INTERRUPT in"
"261","00fefe00","31","0x00000001","0xffffffff","13.104023","1.3.1","host","USB","URB_INTERRUPT in"
"262","00fefe00","31","0x00000001","0xffffffff","13.119623","1.3.1","host","USB","URB_INTERRUPT in"
